title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Level 7 BA in Pharmaceutical Business Operations [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,2018-08-03,2018-09-24,2019-05-17,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6143
Higher Diploma in Food Science and Technology [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 8 Special Purpose Award HETAC,70,Part Time,2018-08-03,2018-09-10,2019-05-31,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6141
Higher Diploma in Food Science and Technology [september 2018] [Cork],Innopharma College of Applied Sciences,Level 8 Higher Diploma QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6140
Diploma in Pharmaceutical and Medical Device Manufacturing [Sept 2018] [Dublin],Innopharma College of Applied Sciences,Level 8 Higher Diploma Award QQI,70,Part Time,2018-08-03,2018-09-21,2019-06-21,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6136
Certificate in Pharmaceutical and Medical Device Operations - Distance/On Line [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-07-20,2018-09-10,2019-06-20,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6132
Certificate in Food Science and Technology [Cork] [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6130
Certificate in Food Science and Technology [Dublin] [September 2018],Innopharma College of Applied Sciences,Level 6 Minor Award QQI,70,Part Time,2018-08-03,2018-09-10,2019-05-31,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6129
BSc in Process Technologies,Innopharma College of Applied Sciences,BSc in Process Technologies,70,Part Time,2018-08-03,2018-09-10,2019-05-31,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6128
e-(Bio)PharmaChem [Intake 1],GetReSkilled,CPD Certificate (Awarding Body:  Dublin Institute of Technology),15,Part Time,2018-07-11,2018-07-23,2019-04-04,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6119
Certificate in Software Systems and Entrepreneurship,Dublin City University,Certificate in Software Systems and Entrepreneurship,68,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6072
Certificate in Information Technology,Dublin City University,Certificate in Information Technology,53,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6071
Certificate in Computing & Communications Technology,Dublin City University,Certificate in Computing and Communications Technology,53,Part Time,2018-07-31,2018-09-17,2019-08-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6070
Certificate in Validation Science,Cork Institute of Technology,Certificate in Validation Science ,10,Part Time,2018-08-29,2018-09-19,2019-08-31,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6036
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
